,importance_drop
age,0.01788919213360737
credit_card_debt,0.009889147208463893
debt_per_year,0.007255410671967836
cc_dti,0.006825252423149916
years_at_address,0.003959028269146522
auto_dti,0.0029482125408538005
dti,0.0027673888383480763
years_at_employer,0.002327122432247234
stability_index,0.002136190572458655
income,0.0016408908655952089
log_income,0.0016195514224423594
total_debt,0.0015746262789626912
other_debt,0.0014600671630895067
tenure_ratio,0.001133236744274857
automobile_debt,0.0007131866527398871
